geoID,geoID2,geography,simpleGeography,meanSunriseTime,q1,q2,q3
310M100US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area","Fayetteville, AR",6:49,3,55,117
310M100US26780,26780,"Hutchinson, MN Micro Area","Hutchinson, MN",6:49,-17,52,129
310M100US37460,37460,"Panama City-Lynn Haven-Panama City Beach, FL Metro Area","Panama City, FL",6:16,29,88,172
310M100US44980,44980,"Sunbury, PA Micro Area","Sunbury, PA",6:39,-4,67,168
310M100US20340,20340,"Duncan, OK Micro Area","Duncan, OK",7:04,-25,37,92
310M100US40500,40500,"Rockland, ME Micro Area","Rockland, ME",6:08,32,93,152
310M100US26260,26260,"Hope, AR Micro Area","Hope, AR",6:47,-6,57,117
310M100US23620,23620,"Gainesville, TX Micro Area","Gainesville, TX",7:01,-30,42,114
310M100US22340,22340,"Fitzgerald, GA Micro Area","Fitzgerald, GA",7:06,-18,36,89
310M100US39780,39780,"Red Bluff, CA Micro Area","Red Bluff, CA",6:41,-11,65,144
310M100US30140,30140,"Lebanon, PA Metro Area","Lebanon, PA",6:37,2,69,158
310M100US13340,13340,"Bellefontaine, OH Micro Area","Bellefontaine, OH",7:07,-42,37,160
310M100US25620,25620,"Hattiesburg, MS Metro Area","Hattiesburg, MS",6:30,16,74,145
310M100US36060,36060,"Oak Hill, WV Micro Area","Oak Hill, WV",6:57,-12,50,148
310M100US24620,24620,"Greeneville, TN Micro Area","Greeneville, TN",7:03,-26,43,125
310M100US22980,22980,"Fort Valley, GA Micro Area","Fort Valley, GA",7:08,-26,40,139
310M100US48300,48300,"Wenatchee-East Wenatchee, WA Metro Area","Wenatchee, WA",6:32,11,70,132
310M100US34540,34540,"Mount Vernon, OH Micro Area","Mount Vernon, OH",7:02,-24,44,126
310M100US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area","Little Rock, AR",6:42,10,64,124
310M100US11220,11220,"Amsterdam, NY Micro Area","Amsterdam, NY",6:28,5,78,154
310M100US41700,41700,"San Antonio-New Braunfels, TX Metro Area","San Antonio, TX",7:07,-17,41,119
310M100US37940,37940,"Peru, IN Micro Area","Peru, IN",7:16,-37,30,178
310M100US37140,37140,"Paducah, KY-IL Micro Area","Paducah, KY",6:27,13,75,149
310M100US13260,13260,"Bedford, IN Micro Area","Bedford, IN",7:18,-52,28,101
310M100US46260,46260,"Tuskegee, AL Micro Area","Tuskegee, AL",6:15,34,92,214
310M100US46900,46900,"Vernon, TX Micro Area","Vernon, TX",7:10,-28,27,58
310M100US20940,20940,"El Centro, CA Metro Area","El Centro, CA",6:15,-4,89,161
310M100US24100,24100,"Gloversville, NY Micro Area","Gloversville, NY",6:29,12,75,172
310M100US36020,36020,"Oak Harbor, WA Micro Area","Oak Harbor, WA",6:41,-6,63,163
310M100US23580,23580,"Gainesville, GA Metro Area","Gainesville, GA",7:08,-11,40,119
310M100US17820,17820,"Colorado Springs, CO Metro Area","Colorado Springs, CO",6:31,15,76,145
310M100US18500,18500,"Corning, NY Micro Area","Corning, NY",6:40,3,64,125
310M100US41260,41260,"St. Marys, PA Micro Area","St. Marys, PA",6:46,-3,56,201
310M100US18460,18460,"Cornelia, GA Micro Area","Cornelia, GA",7:07,-16,37,98
310M100US30900,30900,"Logansport, IN Micro Area","Logansport, IN",7:17,-47,26,176
310M100US28380,28380,"Kennett, MO Micro Area","Kennett, MO",6:32,3,70,129
310M100US28100,28100,"Kankakee-Bradley, IL Metro Area","Kankakee, IL",6:23,9,81,172
310M100US17060,17060,"Chillicothe, OH Micro Area","Chillicothe, OH",7:04,-27,41,162
310M100US41420,41420,"Salem, OR Metro Area","Salem, OR",6:43,1,62,138
310M100US35140,35140,"Newberry, SC Micro Area","Newberry, SC",6:59,-19,49,144
310M100US36100,36100,"Ocala, FL Metro Area","Ocala, FL",7:01,-15,47,118
310M100US20620,20620,"East Liverpool-Salem, OH Micro Area","East Liverpool, OH",6:54,-25,53,170
310M100US31300,31300,"Lumberton, NC Micro Area","Lumberton, NC",6:48,10,59,124
310M100US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","Virginia Beach, VA",6:37,4,71,147
310M100US38220,38220,"Pine Bluff, AR Metro Area","Pine Bluff, AR",6:41,-2,64,125
310M100US45640,45640,"Thomasville-Lexington, NC Micro Area","Thomasville, NC",6:53,-1,55,121
310M100US39740,39740,"Reading, PA Metro Area","Reading, PA",6:36,3,71,161
310M100US42700,42700,"Sebring, FL Micro Area","Sebring, FL",6:59,-9,45,118
310M100US25380,25380,"Harrisburg, IL Micro Area","Harrisburg, IL",6:26,15,77,151
310M100US11780,11780,"Ashtabula, OH Micro Area","Ashtabula, OH",6:55,-19,52,161
310M100US28180,28180,"Kapaa, HI Micro Area","Kapaa, HI",6:32,15,73,160
310M100US45740,45740,"Toccoa, GA Micro Area","Toccoa, GA",7:06,-13,37,123
310M100US42500,42500,"Scottsburg, IN Micro Area","Scottsburg, IN",7:15,-49,33,233
310M100US10860,10860,"Alice, TX Micro Area","Alice, TX",7:05,-16,39,86
310M100US44380,44380,"Statesville-Mooresville, NC Micro Area","Statesville, NC",6:56,-11,52,116
310M100US27500,27500,"Janesville, WI Metro Area","Janesville, WI",6:27,9,79,187
310M100US14340,14340,"Boone, IA Micro Area","Boone, IA",6:47,-2,59,115
310M100US47620,47620,"Warren, PA Micro Area","Warren, PA",6:48,-10,56,138
310M100US47580,47580,"Warner Robins, GA Metro Area","Warner Robins, GA",7:07,-17,39,109
310M100US46860,46860,"Vernal, UT Micro Area","Vernal, UT",6:50,-23,50,112
310M100US17660,17660,"Coeur d'Alene, ID Metro Area","Coeur d, ID",6:18,19,87,171
310M100US19180,19180,"Danville, IL Metro Area","Danville, IL",6:22,20,82,177
310M100US15460,15460,"Burlington, IA-IL Micro Area","Burlington, IA",6:36,-9,65,174
310M100US14420,14420,"Borger, TX Micro Area","Borger, TX",7:18,-34,23,91
310M100US32180,32180,"Marshall, MO Micro Area","Marshall, MO",6:45,-12,55,185
310M100US14100,14100,"Bloomsburg-Berwick, PA Micro Area","Bloomsburg, PA",6:37,13,68,181
310M100US37020,37020,"Owosso, MI Micro Area","Owosso, MI",7:08,-25,43,141
310M100US45520,45520,"The Dalles, OR Micro Area","The Dalles, OR",6:36,11,64,121
310M100US29060,29060,"Laconia, NH Micro Area","Laconia, NH",6:17,33,91,155
310M100US23340,23340,"Fremont, NE Micro Area","Fremont, NE",6:58,-24,43,110
310M100US40820,40820,"Ruston, LA Micro Area","Ruston, LA",6:43,10,60,177
310M100US44940,44940,"Sumter, SC Metro Area","Sumter, SC",6:54,1,51,113
310M100US20700,20700,"East Stroudsburg, PA Micro Area","East Stroudsburg, PA",6:32,-7,82,209
310M100US18180,18180,"Concord, NH Micro Area","Concord, NH",6:18,33,92,152
310M100US29900,29900,"Laurinburg, NC Micro Area","Laurinburg, NC",6:50,6,55,112
310M100US44860,44860,"Sulphur Springs, TX Micro Area","Sulphur Springs, TX",6:55,-15,50,96
310M100US29460,29460,"Lakeland-Winter Haven, FL Metro Area","Lakeland, FL",7:01,-11,51,118
310M100US23420,23420,"Fresno, CA Metro Area","Fresno, CA",6:31,10,77,152
310M100US29380,29380,"Lake City, FL Micro Area","Lake City, FL",7:03,-20,44,114
310M100US12620,12620,"Bangor, ME Metro Area","Bangor, ME",6:06,38,101,184
310M100US12180,12180,"Auburn, NY Micro Area","Auburn, NY",6:38,1,69,149
310M100US22900,22900,"Fort Smith, AR-OK Metro Area","Fort Smith, AR",6:50,-6,57,134
310M100US45500,45500,"Texarkana, TX-Texarkana, AR Metro Area","Texarkana, TX",6:49,-9,57,126
310M100US32540,32540,"McAlester, OK Micro Area","McAlester, OK",6:55,-28,51,102
310M100US14780,14780,"Brenham, TX Micro Area","Brenham, TX",6:58,-11,47,98
310M100US17540,17540,"Clinton, IA Micro Area","Clinton, IA",6:32,3,71,150
310M100US36820,36820,"Oskaloosa, IA Micro Area","Oskaloosa, IA",6:42,-13,61,128
310M100US42740,42740,"Sedalia, MO Micro Area","Sedalia, MO",6:45,-3,60,180
310M100US16380,16380,"Celina, OH Micro Area","Celina, OH",7:10,-39,35,121
310M100US12740,12740,"Barre, VT Micro Area","Barre, VT",6:21,36,87,140
310M100US20820,20820,"Effingham, IL Micro Area","Effingham, IL",6:26,30,79,129
310M100US11140,11140,"Americus, GA Micro Area","Americus, GA",7:10,-21,36,90
310M100US47220,47220,"Vineland-Millville-Bridgeton, NJ Metro Area","Vineland, NJ",6:32,6,76,152
310M100US12860,12860,"Batavia, NY Micro Area","Batavia, NY",6:44,1,64,135
310M100US22060,22060,"Faribault-Northfield, MN Micro Area","Faribault, MN",6:44,-12,63,156
310M100US33700,33700,"Modesto, CA Metro Area","Modesto, CA",6:36,-9,74,169
310M100US37660,37660,"Parsons, KS Micro Area","Parsons, KS",6:53,-16,49,102
310M100US31580,31580,"Madisonville, KY Micro Area","Madisonville, KY",6:22,18,84,224
310M100US49300,49300,"Wooster, OH Micro Area","Wooster, OH",6:59,-22,48,130
310M100US33740,33740,"Monroe, LA Metro Area","Monroe, LA",6:41,16,66,120
310M100US43060,43060,"Shawnee, OK Micro Area","Shawnee, OK",7:00,-21,48,121
310M100US45260,45260,"Tallulah, LA Micro Area","Tallulah, LA",6:37,30,63,113
310M100US30100,30100,"Lebanon, NH-VT Micro Area","Lebanon, NH",6:21,31,87,149
310M100US45540,45540,"The Villages, FL Micro Area","The Villages, FL",7:01,-11,47,105
310M100US11420,11420,"Angola, IN Micro Area","Angola, IN",7:12,-36,35,152
310M100US39660,39660,"Rapid City, SD Metro Area","Rapid City, SD",6:24,27,82,145
310M100US22800,22800,"Fort Madison-Keokuk, IA-MO Micro Area","Fort Madison, IA",6:37,-5,68,180
310M100US36500,36500,"Olympia, WA Metro Area","Olympia, WA",6:42,4,69,135
310M100US20100,20100,"Dover, DE Metro Area","Dover, DE",6:34,12,77,177
310M100US36780,36780,"Oshkosh-Neenah, WI Metro Area","Oshkosh, WI",6:25,17,82,209
310M100US33940,33940,"Montrose, CO Micro Area","Montrose, CO",6:43,3,61,108
310M100US43320,43320,"Show Low, AZ Micro Area","Show Low, AZ",6:14,24,92,154
310M100US15260,15260,"Brunswick, GA Metro Area","Brunswick, GA",6:59,-10,50,111
310M100US43860,43860,"Southern Pines-Pinehurst, NC Micro Area","Southern Pines, NC",6:50,9,61,121
310M100US17700,17700,"Coffeyville, KS Micro Area","Coffeyville, KS",6:55,-22,49,118
