"Concord, NH Micro Area",2950,2405,3178,6871,8077,11847,10060,7713,3454,3153,1435,508,4628,4335
"Connersville, IN Micro Area",823,298,649,606,741,957,879,855,332,388,234,140,812,1088
"Cookeville, TN Micro Area",2013,1539,2310,3837,4984,10046,5342,1985,1092,1409,770,357,2667,2317
"Coos Bay, OR Micro Area",1555,867,1113,1514,2088,2849,3664,1695,1132,1611,795,348,1892,1392
"Corbin, KY Micro Area",786,485,415,877,1131,1658,1843,1157,538,496,54,196,1256,1072
"Cordele, GA Micro Area",322,217,520,333,915,1390,1478,924,317,397,363,56,529,372
"Corinth, MS Micro Area",602,378,716,1492,2054,2158,1910,1387,358,652,284,153,1014,1120
"Cornelia, GA Micro Area",1093,359,846,1162,1670,3145,2701,1188,618,739,388,142,1033,1124
"Corning, NY Micro Area",1873,1585,2584,3506,5090,6083,6188,3774,1741,1663,661,360,2973,2689
"Corpus Christi, TX Metro Area",8044,6759,9225,12962,17838,27071,29528,19239,8733,10276,5480,2462,11889,12531
"Corsicana, TX Micro Area",1522,952,1080,1711,2156,3181,2513,1451,829,928,169,270,1510,1441
"Cortland, NY Micro Area",849,795,1005,1824,2215,2697,3824,2106,1041,827,473,254,1743,1592
"Corvallis, OR Metro Area",437,942,1541,1838,2931,3957,6293,4754,3068,3257,1273,543,2940,2271
"Coshocton, OH Micro Area",1182,773,1237,1556,1454,1334,1652,1191,595,655,303,157,1344,1058
"Crawfordsville, IN Micro Area",653,626,812,1701,1904,2212,2458,1124,528,923,336,154,1141,1859
"Crescent City, CA Micro Area",244,217,500,416,762,830,1588,894,471,648,404,99,804,716
"Crestview-Fort Walton Beach-Destin, FL Metro Area",3664,4389,5688,9596,10438,12787,8757,7242,3665,4278,2337,950,6474,5528
"Crossville, TN Micro Area",1022,798,816,1755,3753,3306,2304,1205,493,565,474,142,1484,1247
"Crowley, LA Micro Area",2374,1400,1496,2398,2686,4033,3197,2051,465,601,201,114,1693,1613
"Cullman, AL Micro Area",2723,1930,2841,3770,2799,4678,4063,2041,748,1112,490,272,2568,1821
"Culpeper, VA Micro Area",1970,987,1311,1963,2107,3231,2461,1757,773,777,336,182,1199,1045
"Cumberland, MD-WV Metro Area",1918,1623,2286,2972,4524,4200,4644,3414,2088,1937,921,501,4819,3974
"Dallas-Fort Worth-Arlington, TX Metro Area",104758,105488,134918,275856,290147,473294,373832,327441,152736,189888,81329,32494,177979,187587
"Dalton, GA Metro Area",1305,828,2098,5759,7323,10520,8020,4683,2363,1840,1144,460,4588,6911
"Danville, IL Metro Area",1498,1017,1615,3464,3734,4667,3925,2842,1000,1240,519,249,2863,3145
"Danville, KY Micro Area",747,647,968,1717,1798,3514,2578,1895,920,904,628,217,1669,2021
"Danville, VA Metro Area",1779,1556,2282,3486,4793,4916,6234,4380,1722,1981,1106,610,3147,4761
"Daphne-Fairhope-Foley, AL Micro Area",3232,3160,4320,8531,9322,13141,10146,7066,2396,3890,1613,640,4488,5038
"Davenport-Moline-Rock Island, IA-IL Metro Area",8750,6953,10428,13707,18734,21484,24642,17521,7016,12441,3757,1864,13760,13791
"Dayton, OH Metro Area",12856,10043,16465,26860,39752,49975,51544,36592,19904,20940,10129,5611,29747,32914
"Decatur, AL Metro Area",3856,3918,4811,7050,7547,9527,7048,5403,2042,2428,1087,587,4364,4255
"Decatur, IL Metro Area",1771,1462,2554,4264,5752,5948,8028,3363,1900,1810,1269,583,4321,4080
"Decatur, IN Micro Area",698,784,1388,1578,1561,1857,2181,937,620,359,327,143,901,1135
"Defiance, OH Micro Area",682,664,1215,1578,1713,2134,2371,1290,607,440,252,340,1663,2022
"Del Rio, TX Micro Area",1050,626,609,1201,2603,3163,3496,1314,669,867,445,423,1234,1305
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",6796,5098,7406,15146,19383,29263,25469,23030,9937,12529,5921,2566,13552,13444
"Deming, NM Micro Area",721,315,434,675,807,960,1268,1255,322,502,83,29,422,385
"Denver-Aurora-Broomfield, CO Metro Area",45374,40045,59485,113886,133728,188054,149226,131582,66058,91076,34701,15304,75481,69390
"DeRidder, LA Micro Area",1578,790,1381,1361,1588,2499,1439,846,298,560,249,65,541,939
"Des Moines-West Des Moines, IA Metro Area",7797,7118,12349,22724,36785,52167,48780,26013,12745,13013,6873,3417,17785,18979
"Detroit-Warren-Livonia, MI Metro Area",63584,58691,81374,141018,165429,239665,210431,201545,110821,118113,52807,26202,143249,131642
"Dickinson, ND Micro Area",624,555,997,1061,1726,1570,2720,1219,568,370,320,101,815,859
"Dillon, SC Micro Area",647,307,402,801,1439,1415,1548,1006,214,372,204,85,1309,771
"Dixon, IL Micro Area",1100,594,1041,1436,2134,1734,1937,1178,473,530,350,89,1308,1172
"Dodge City, KS Micro Area",1324,889,868,1018,1107,1828,2338,1138,485,588,257,127,2004,1651
"Dothan, AL Metro Area",3162,2592,3382,5869,8931,9053,8715,3843,1840,2181,1254,569,4121,4001
"Douglas, GA Micro Area",1450,776,652,1611,1747,3264,3221,1265,669,633,166,108,1306,1420
"Dover, DE Metro Area",3604,2407,3595,6960,7431,11036,9644,5590,2230,3266,1943,1037,5926,6142
"Dublin, GA Micro Area",731,796,1247,1602,2524,4550,2984,1689,851,688,322,106,1179,1393
"DuBois, PA Micro Area",2830,1594,2090,2936,4645,4029,3581,2537,1512,1480,771,268,2526,2315
"Dubuque, IA Metro Area",2012,1289,2979,3680,5763,6450,7519,3943,1730,2330,1166,618,4108,3465
"Duluth, MN-WI Metro Area",4167,3958,6717,10352,14362,16066,20449,11092,5367,6199,3331,1674,11010,10431
"Dumas, TX Micro Area",405,590,677,963,1017,792,1588,999,221,237,258,102,1123,815
"Duncan, OK Micro Area",831,725,1395,1512,2074,2884,3105,1588,571,708,358,99,1054,1394
"Dunn, NC Micro Area",2295,2919,3072,5574,6296,7430,4769,4214,1576,1373,1037,232,2772,2814
"Durango, CO Micro Area",750,477,1098,1823,2390,3463,5486,2559,1183,1841,804,367,1533,775
"Durant, OK Micro Area",710,522,1063,1845,1598,2443,3349,1300,647,824,232,186,1232,1319
"Durham-Chapel Hill, NC Metro Area",5160,5017,7137,15747,22005,32048,33675,32586,18112,17326,7456,3831,14896,14050
"Dyersburg, TN Micro Area",854,528,924,1389,2090,2501,2462,1113,556,538,276,157,1018,1281
"Eagle Pass, TX Micro Area",841,794,560,1014,1005,2036,3425,2845,985,1345,619,318,1308,1726
"East Liverpool-Salem, OH Micro Area",2647,2532,3102,4253,4618,4991,4894,3002,2011,2000,941,327,4497,4039
"Easton, MD Micro Area",733,428,627,1260,2017,1817,2729,2085,1109,1212,663,209,695,739
