GEOID,NAME,UATYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                      
24067,"Diboll, TX Urban Cluster",C,7788939,104745,3.007,0.040,31.190929,-94.781829                                                                                                        
24094,"Dickinson, ND Urban Cluster",C,19565176,28969,7.554,0.011,46.885456,-102.786789                                                                                                     
24121,"Dickson, TN Urban Cluster",C,44558997,153619,17.204,0.059,36.060248,-87.363913                                                                                                      
24148,"Dilley, TX Urban Cluster",C,5150868,0,1.989,0.000,28.669807,-99.177396                                                                                                             
24175,"Dillon, MT Urban Cluster",C,5867993,0,2.266,0.000,45.227445,-112.630961                                                                                                             
24202,"Dillon, SC Urban Cluster",C,18506187,101379,7.145,0.039,34.417330,-79.359693                                                                                                       
24229,"Dimmitt, TX Urban Cluster",C,5159890,105987,1.992,0.041,34.548219,-102.317203                                                                                                       
24256,"Discovery Bay, CA Urban Cluster",C,12046576,1308172,4.651,0.505,37.902207,-121.611672                                                                                               
24283,"Dixon, CA Urban Cluster",C,16113161,6653,6.221,0.003,38.444983,-121.834573                                                                                                          
24310,"Dixon, IL Urban Cluster",C,25524701,938056,9.855,0.362,41.852951,-89.481744                                                                                                        
24329,"Dodge Center, MN Urban Cluster",C,3988716,0,1.540,0.000,44.030103,-92.855092                                                                                                       
24337,"Dodge City, KS Urban Cluster",C,27889357,272373,10.768,0.105,37.756788,-100.011964                                                                                                   
24364,"Dodgeville, WI Urban Cluster",C,7905995,0,3.053,0.000,42.965515,-90.130641                                                                                                         
24391,"Donaldsonville, LA Urban Cluster",C,41315983,2515002,15.952,0.971,30.072531,-90.923207                                                                                              
24418,"Donalsonville, GA Urban Cluster",C,7603905,120109,2.936,0.046,31.040950,-84.874312                                                                                                 
24433,"Dorr, MI Urban Cluster",C,14211286,27483,5.487,0.011,42.718041,-85.734434                                                                                                          
24445,"Dos Palos, CA Urban Cluster",C,5505571,0,2.126,0.000,36.978164,-120.633707                                                                                                          
24472,"Dothan, AL Urbanized Area",U,143752910,308680,55.503,0.119,31.226120,-85.425301                                                                                                     
24499,"Douglas, AZ Urban Cluster",C,14681121,0,5.668,0.000,31.350383,-109.543214                                                                                                           
24526,"Douglas, GA Urban Cluster",C,31068789,542636,11.996,0.210,31.511685,-82.848680                                                                                                      
24539,"Douglas, MI Urban Cluster",C,7327618,130134,2.829,0.050,42.649199,-86.198443                                                                                                       
24553,"Douglas, WY Urban Cluster",C,8348806,23518,3.223,0.009,42.753293,-105.383100                                                                                                        
24580,"Dover, DE Urbanized Area",U,192098100,1904685,74.169,0.735,39.148500,-75.541398                                                                                                     
24607,"Dover--Rochester, NH--ME Urbanized Area",U,172030002,5552572,66.421,2.144,43.226306,-70.899625                                                                                      
24634,"Dowagiac, MI Urban Cluster",C,9032424,88865,3.487,0.034,41.982547,-86.108166                                                                                                       
24646,"Downs, IL Urban Cluster",C,5612185,2268,2.167,0.001,40.411118,-88.887834                                                                                                           
24688,"Dryden, NY Urban Cluster",C,10239050,49582,3.953,0.019,42.475045,-76.293878                                                                                                        
24715,"Dublin, GA Urban Cluster",C,58123892,543828,22.442,0.210,32.537220,-82.919988                                                                                                       
24769,"Dublin, TX Urban Cluster",C,5680905,0,2.193,0.000,32.088665,-98.342338                                                                                                             
24796,"DuBois, PA Urban Cluster",C,17602065,139723,6.796,0.054,41.119290,-78.762620                                                                                                       
24823,"Dubuque, IA--IL Urbanized Area",U,87511617,866951,33.788,0.335,42.506228,-90.691052                                                                                                 
24850,"Duluth, MN--WI Urbanized Area",U,182546184,22604601,70.481,8.728,46.765574,-92.129020                                                                                               
24877,"Dumas, AR Urban Cluster",C,7912204,0,3.055,0.000,33.884793,-91.486833                                                                                                              
24904,"Dumas, TX Urban Cluster",C,14665957,0,5.663,0.000,35.868372,-101.965714                                                                                                             
24931,"Duncan, OK Urban Cluster",C,30435547,154743,11.751,0.060,34.515253,-97.962302                                                                                                       
24958,"Dundee, MI Urban Cluster",C,6428800,90764,2.482,0.035,41.957820,-83.660254                                                                                                         
24985,"Dunkirk, IN Urban Cluster",C,5350696,0,2.066,0.000,40.363795,-85.184488                                                                                                            
25012,"Dunkirk--Fredonia, NY Urban Cluster",C,36310825,34715,14.020,0.013,42.460506,-79.339732                                                                                             
25025,"Dunlap, TN Urban Cluster",C,11348382,0,4.382,0.000,35.377171,-85.388175                                                                                                            
25039,"Dunn, NC Urban Cluster",C,29043585,36812,11.214,0.014,35.317577,-78.637937                                                                                                          
25093,"Du Quoin, IL Urban Cluster",C,11643553,184673,4.496,0.071,38.017557,-89.232631                                                                                                     
25120,"Durand, MI Urban Cluster",C,8420442,14006,3.251,0.005,42.907955,-83.985164                                                                                                         
25147,"Durango, CO Urban Cluster",C,24158042,85392,9.327,0.033,37.289287,-107.869874                                                                                                       
25174,"Durant, MS Urban Cluster",C,3806313,0,1.470,0.000,33.079138,-89.856737                                                                                                             
25201,"Durant, OK Urban Cluster",C,26250956,36884,10.136,0.014,33.999943,-96.393378                                                                                                        
25228,"Durham, NC Urbanized Area",U,470765371,3860441,181.764,1.491,35.980955,-78.947743                                                                                                    
25255,"Dwight, IL Urban Cluster",C,8758852,0,3.382,0.000,41.095206,-88.435536                                                                                                             
25282,"Dyer, TN Urban Cluster",C,6662267,0,2.572,0.000,36.074642,-89.004537                                                                                                               
25309,"Dyersburg, TN Urban Cluster",C,42493421,261467,16.407,0.101,36.060710,-89.358888                                                                                                    
25336,"Dyersville, IA Urban Cluster",C,6705757,0,2.589,0.000,42.480040,-91.117288                                                                                                         
