GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 12:00 a.m. to 4:59 a.m.,Margin of Error; Total: - 12:00 a.m. to 4:59 a.m.,Estimate; Total: - 5:00 a.m. to 5:29 a.m.,Margin of Error; Total: - 5:00 a.m. to 5:29 a.m.,Estimate; Total: - 5:30 a.m. to 5:59 a.m.,Margin of Error; Total: - 5:30 a.m. to 5:59 a.m.,Estimate; Total: - 6:00 a.m. to 6:29 a.m.,Margin of Error; Total: - 6:00 a.m. to 6:29 a.m.,Estimate; Total: - 6:30 a.m. to 6:59 a.m.,Margin of Error; Total: - 6:30 a.m. to 6:59 a.m.,Estimate; Total: - 7:00 a.m. to 7:29 a.m.,Margin of Error; Total: - 7:00 a.m. to 7:29 a.m.,Estimate; Total: - 7:30 a.m. to 7:59 a.m.,Margin of Error; Total: - 7:30 a.m. to 7:59 a.m.,Estimate; Total: - 8:00 a.m. to 8:29 a.m.,Margin of Error; Total: - 8:00 a.m. to 8:29 a.m.,Estimate; Total: - 8:30 a.m. to 8:59 a.m.,Margin of Error; Total: - 8:30 a.m. to 8:59 a.m.,Estimate; Total: - 9:00 a.m. to 9:59 a.m.,Margin of Error; Total: - 9:00 a.m. to 9:59 a.m.,Estimate; Total: - 10:00 a.m. to 10:59 a.m.,Margin of Error; Total: - 10:00 a.m. to 10:59 a.m.,Estimate; Total: - 11:00 a.m. to 11:59 a.m.,Margin of Error; Total: - 11:00 a.m. to 11:59 a.m.,Estimate; Total: - 12:00 p.m. to 3:59 p.m.,Margin of Error; Total: - 12:00 p.m. to 3:59 p.m.,Estimate; Total: - 4:00 p.m. to 11:59 p.m.,Margin of Error; Total: - 4:00 p.m. to 11:59 p.m.
310M100US17260,17260,"Clarksdale, MS Micro Area",8253,445,292,104,282,118,299,97,498,142,1000,228,1488,213,1269,250,796,197,232,78,253,91,238,105,115,58,756,160,735,215
310M100US17300,17300,"Clarksville, TN-KY Metro Area",113802,1504,8044,633,9058,791,10487,921,12992,780,13520,926,14262,886,11051,673,8053,781,3648,489,4055,464,2389,397,1213,317,8286,689,6744,653
310M100US17340,17340,"Clearlake, CA Micro Area",20823,921,1068,303,947,282,1031,272,1891,332,1835,336,3132,447,3111,426,2156,326,848,269,1477,291,567,204,411,181,1231,295,1118,273
310M100US17380,17380,"Cleveland, MS Micro Area",12042,426,435,138,279,122,500,142,922,180,1663,259,2033,317,2057,351,1069,234,295,86,583,160,264,111,119,90,635,164,1188,236
310M100US17420,17420,"Cleveland, TN Metro Area",46373,1075,1856,235,1548,291,2225,321,3800,508,5073,510,6557,580,6986,551,4128,487,1516,364,2170,333,1253,268,491,170,3456,496,5314,584
310M100US17460,17460,"Cleveland-Elyria-Mentor, OH Metro Area",912692,3685,28314,1102,26284,1022,38770,1290,73068,1443,94695,1824,137528,2554,124416,2208,101385,2005,55221,1676,57914,1362,24764,1028,12587,707,71086,1750,66660,1823
310M100US17500,17500,"Clewiston, FL Micro Area",13551,950,735,268,1099,456,765,279,2265,673,2205,483,2393,516,1395,323,760,239,274,140,527,258,196,106,28,43,425,255,484,204
310M100US17540,17540,"Clinton, IA Micro Area",22736,543,1312,196,826,172,1548,226,2133,236,2818,340,2704,290,3527,334,1680,244,754,177,774,211,458,108,304,135,1698,256,2200,286
310M100US17580,17580,"Clovis, NM Micro Area",21232,655,678,176,667,199,1130,257,1962,375,2600,344,3218,421,3125,425,1581,323,1002,261,1297,266,557,176,294,129,1376,259,1745,333
310M100US17620,17620,"Coamo, PR Micro Area",17417,803,1544,305,1474,253,1148,250,2264,334,1926,312,2864,391,1759,290,1107,223,445,175,840,214,248,100,219,100,936,219,643,183
310M100US17660,17660,"Coeur d'Alene, ID Metro Area",57441,1232,2877,384,2585,365,3544,472,5801,553,6465,679,7626,576,6630,654,5099,544,3201,450,3353,416,2167,374,841,219,4022,522,3230,442
